DecisionToInclude,docLen,SentLen,SentAVG,TF,IDF
0,380,57,0.15,0.17,21.76
0,380,28,0.07,0.18,9.52
0,380,29,0.08,0.17,9.88
0,380,66,0.17,0.27,26.73
1,380,10,0.03,0.06,2.36
0,380,24,0.06,0.07,7.95
0,380,86,0.23,0.4,26.67
0,380,32,0.08,0.06,11.24
0,380,27,0.07,0.17,9.31
0,380,26,0.07,0.18,9.31
0,380,26,0.07,0.17,9.19
0,380,43,0.11,0.17,15.66
1,380,47,0.12,0.08,15.95
1,247,95,0.38,0.1,22.14
0,247,81,0.33,0.11,22.26
0,247,36,0.15,0.1,10.23
0,247,66,0.27,0.11,18.12
1,247,65,0.26,0.13,15.13
0,247,25,0.1,0.1,8.13
1,247,28,0.11,0.09,4.82
1,247,39,0.16,0.06,10.46
0,247,40,0.16,0.06,10.24
0,247,74,0.3,0.14,18.95
0,247,81,0.33,0.14,21.25
0,247,47,0.19,0.08,12.14
0,247,28,0.11,0.11,6.89
0,247,39,0.16,0.06,7.78
0,247,57,0.23,0.09,12.79
0,247,42,0.17,0.08,11.28
0,247,26,0.11,0.09,7.17
0,247,24,0.1,0.05,7.01
0,247,51,0.21,0.06,13.03
0,247,59,0.24,0.12,16.8
1,247,49,0.2,0.08,11.69
0,247,42,0.17,0.1,10.78
1,247,28,0.11,0.09,5.3
1,247,67,0.27,0.14,15.54
1,247,45,0.18,0.12,10.59
1,247,34,0.14,0.06,8.88
1,247,29,0.12,0.06,8.47
1,247,51,0.21,0.07,14.23
1,247,32,0.13,0.12,6.89
1,247,38,0.15,0.11,10.63
0,247,82,0.33,0.12,22.23
0,247,38,0.15,0.06,12.22
0,247,33,0.13,0.09,9.31
0,247,32,0.13,0.1,10.02
0,247,21,0.09,0.05,6.31
1,247,101,0.41,0.16,31.13
1,247,54,0.22,0.11,14.1
1,247,68,0.28,0.16,19.07
1,247,44,0.18,0.07,11.81
1,519,115,0.22,0.13,44.48
1,519,79,0.15,0.15,24.46
1,519,52,0.1,0.07,19.73
1,519,21,0.04,0.05,8.06
0,519,45,0.09,0.08,14.48
0,519,119,0.23,0.27,42.47
1,519,38,0.07,0.05,15.61
0,519,63,0.12,0.14,19.03
0,519,129,0.25,0.31,40.9
0,519,74,0.14,0.12,26.61
0,519,96,0.18,0.12,28.39
0,519,31,0.06,0.05,9.58
1,519,123,0.24,0.16,36.44
1,519,55,0.11,0.07,19.58
1,519,64,0.12,0.11,22.92
0,519,54,0.1,0.12,22.16
1,519,80,0.15,0.2,22.73
1,519,39,0.08,0.15,9.79
1,519,41,0.08,0.08,12.86
1,519,78,0.15,0.07,34.14
0,519,23,0.04,0.04,8.29
0,519,39,0.08,0.11,18.04
1,519,65,0.13,0.1,23.55
0,519,81,0.16,0.11,33.53
1,519,32,0.06,0.08,9.74
1,519,24,0.05,0.05,9.58
0,519,86,0.17,0.26,30.74
1,519,53,0.1,0.12,18.31
0,519,33,0.06,0.13,6.92
0,519,73,0.14,0.07,28.62
0,519,58,0.11,0.09,20.65
0,519,25,0.05,0.08,8.7
0,519,56,0.11,0.19,21.11
0,519,78,0.15,0.19,22.38
0,519,38,0.07,0.1,13.38
0,519,129,0.25,0.26,43.66
1,519,71,0.14,0.07,26.73
1,519,53,0.1,0.07,16.55
1,519,65,0.13,0.06,22.61
0,519,113,0.22,0.2,35.77
0,519,74,0.14,0.11,27.87
1,519,99,0.19,0.17,29.21
0,519,45,0.09,0.05,18.97
1,519,90,0.17,0.16,34.58
0,519,84,0.16,0.14,30.48
1,519,41,0.08,0.07,15.23
1,519,85,0.16,0.11,26.86
0,519,93,0.18,0.17,38.49
1,519,73,0.14,0.2,23.34
1,519,32,0.06,0.04,16.2
1,519,54,0.1,0.08,29.5
1,519,51,0.1,0.07,28.37
1,519,51,0.1,0.1,24.04
1,519,66,0.13,0.14,24.01
1,519,137,0.26,0.25,52.82
0,519,25,0.05,0.04,6.53
1,519,133,0.26,0.14,47.35
1,519,12,0.02,0.04,3.9
1,519,86,0.17,0.18,23.2
1,519,17,0.03,0.04,8.29
0,519,8,0.02,0.04,1.79
0,519,122,0.24,0.18,33.92
0,519,124,0.24,0.36,42.57
0,519,35,0.07,0.09,17.43
0,519,49,0.09,0.08,18.89
0,519,73,0.14,0.22,33.8
0,519,75,0.14,0.13,17.71
0,519,60,0.12,0.05,23.62
0,519,58,0.11,0.1,16.17
0,519,43,0.08,0.07,16.39
0,519,23,0.04,0.04,8.76
0,519,39,0.08,0.08,12.97
0,519,48,0.09,0.11,22.22
0,519,48,0.09,0.13,16.86
0,519,23,0.04,0.04,9.27
0,519,90,0.17,0.15,29.76
